Vardas         Pavarde        ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Egzaminas
Tomas          Jonaitis       2    7    5    10   10   9    8    3    1    8    10        
Lukas          Kavaliauskas   9    1    8    7    9    5    10   2    5    1    6         
Petras         Stankevicius   4    1    7    4    9    9    9    10   10   3    3         
Lukas          Kazlauskas     7    7    4    1    10   6    1    5    9    8    1         
Mantas         Stankevicius   3    2    7    1    9    2    5    1    2    8    9         
Jonas          Kavolis        9    9    4    3    9    7    7    7    2    3    3         
Kazys          Petraitis      1    2    6    9    6    3    8    9    1    2    1         
Kazys          Petraitis      5    10   4    4    5    6    3    9    4    5    7         
Kazys          Kavolis        6    10   10   4    6    10   2    6    10   7    5         
Tomas          Jankauskas     10   3    8    1    7    10   1    7    1    7    9         
Kazys          Kavaliauskas   10   8    9    7    5    6    2    4    2    5    6         
Lukas          Kazlauskas     7    2    4    1    6    10   10   10   6    2    7         
Petras         Kavaliauskas   10   6    2    5    4    1    1    2    3    6    5         
Lukas          Jankauskas     8    1    4    10   8    1    3    6    7    6    10        
Mantas         Kazlauskas     1    5    9    9    9    3    4    10   9    10   1         
Kazys          Jonaitis       10   3    5    4    2    4    6    3    2    1    2         
Jonas          Petraitis      10   1    7    3    10   6    2    1    4    4    3         
Kazys          Brazinskas     1    10   2    5    9    3    5    10   3    4    5         
Paulius        Brazinskas     4    3    7    9    2    10   9    6    8    9    2         
Antanas        Brazinskas     10   2    10   9    9    7    1    9    7    10   9         
Petras         Brazinskas     4    9    7    8    2    10   3    5    5    2    2         
Antanas        Jonaitis       6    9    4    5    10   2    4    10   4    3    6         
Petras         Stankevicius   4    9    7    2    9    10   3    7    3    8    9         
Antanas        Brazinskas     1    3    4    3    8    4    10   8    9    8    9         
Mantas         Stankevicius   9    10   5    3    10   10   1    1    5    10   8         
Jonas          Kavaliauskas   3    7    7    3    6    9    1    1    3    9    9         
Paulius        Jonaitis       8    8    3    3    5    3    2    1    1    10   7         
Lukas          Petraitis      4    10   6    7    2    5    6    5    5    8    2         
Darius         Petraitis      8    2    5    4    6    6    1    1    9    4    10        
Jonas          Petraitis      4    3    10   8    8    4    10   2    3    9    9         
Marius         Stankevicius   4    7    9    3    7    1    3    1    5    1    9         
Marius         Jonaitis       8    4    1    3    4    10   9    5    5    6    2         
Antanas        Kavolis        8    2    2    9    2    2    5    6    8    7    2         
Mantas         Brazinskas     3    10   2    10   6    9    10   4    3    2    8         
Mantas         Zukauskas      9    1    4    8    6    1    6    3    5    9    4         
Darius         Petraitis      4    8    7    5    8    9    9    1    7    2    1         
Mantas         Petraitis      7    6    10   1    8    1    9    9    7    10   6         
Jonas          Brazinskas     8    1    8    6    6    9    7    8    8    2    8         
Lukas          Stankevicius   4    7    1    1    4    2    8    7    7    8    5         
Jonas          Stankevicius   2    4    8    8    10   4    7    10   10   1    6         
Darius         Jonaitis       10   7    7    5    6    2    7    7    5    1    4         
Kazys          Petraitis      5    2    6    1    3    6    6    8    5    8    2         
Darius         Kavolis        8    3    8    7    3    2    10   2    1    10   3         
Jonas          Stankevicius   5    1    4    8    2    6    8    5    1    7    9         
Petras         Stankevicius   4    2    9    1    10   1    2    9    4    6    3         
Jonas          Petraitis      1    6    8    7    8    1    7    5    5    1    3         
Marius         Kavaliauskas   9    3    4    7    2    2    3    9    9    5    3         
Marius         Petraitis      4    6    3    9    5    7    4    6    4    1    8         
Antanas        Kavaliauskas   10   10   5    1    7    7    10   5    1    5    3         
Lukas          Brazinskas     3    6    5    2    5    7    7    1    5    3    6         
Marius         Petraitis      1    4    8    5    10   8    9    9    3    4    3         
Darius         Stankevicius   3    5    9    6    6    1    9    3    1    5    4         
Jonas          Kavaliauskas   3    7    6    10   8    10   7    1    10   10   6         
Jonas          Brazinskas     8    7    8    6    7    8    7    3    1    10   5         
Petras         Jonaitis       4    5    5    4    7    3    7    1    8    4    5         
Antanas        Kavaliauskas   3    6    4    9    2    3    1    1    9    1    6         
Marius         Zukauskas      5    9    3    1    9    8    9    8    9    2    5         
Paulius        Jonaitis       5    7    6    7    2    4    4    4    1    3    1         
Darius         Brazinskas     5    4    10   6    8    2    2    8    6    7    9         
Jonas          Petraitis      10   6    6    7    4    1    10   7    8    5    7         
Darius         Zukauskas      3    10   4    2    7    1    3    2    1    6    7         
Kazys          Zukauskas      7    4    5    3    3    1    4    9    9    5    10        
Paulius        Kavaliauskas   8    1    4    9    4    6    5    8    6    10   2         
Mantas         Kazlauskas     4    3    6    3    2    7    5    7    5    4    10        
Jonas          Petraitis      9    8    7    2    1    3    7    9    1    1    6         
Antanas        Jonaitis       1    2    3    4    3    5    4    10   8    5    4         
Darius         Jankauskas     6    3    2    2    10   8    7    5    3    4    4         
Tomas          Petraitis      3    10   4    10   10   8    1    6    10   10   1         
Antanas        Jankauskas     3    7    1    9    2    9    9    6    8    2    7         
Marius         Kavolis        7    8    6    3    4    4    9    6    6    8    6         
Antanas        Kazlauskas     3    3    5    4    10   9    9    4    10   3    7         
Darius         Kazlauskas     2    1    7    8    9    9    2    10   7    7    3         
Darius         Kavolis        10   5    8    6    3    4    8    2    6    8    10        
Jonas          Kavaliauskas   6    10   3    9    8    7    9    6    10   2    3         
Kazys          Petraitis      4    5    4    3    6    10   5    2    4    6    8         
Jonas          Jankauskas     8    4    5    10   6    10   8    3    5    3    6         
Mantas         Kavaliauskas   6    5    9    7    6    5    9    6    9    8    2         
Tomas          Kavolis        2    8    8    7    9    2    5    6    6    9    3         
Kazys          Kavolis        5    5    3    2    6    10   2    4    1    5    6         
Tomas          Zukauskas      5    7    6    2    5    10   4    1    8    10   8         
Mantas         Petraitis      4    8    5    10   2    2    4    10   10   3    9         
Jonas          Zukauskas      6    4    10   5    7    6    6    9    9    2    2         
Darius         Kazlauskas     1    5    1    10   6    7    5    7    6    5    6         
Lukas          Zukauskas      8    5    5    5    1    4    8    9    10   2    7         
Antanas        Kavolis        2    1    9    5    7    2    3    2    1    5    8         
Darius         Jonaitis       8    9    5    3    4    2    3    9    3    6    5         
Tomas          Stankevicius   4    5    4    6    7    10   5    5    8    6    2         
Darius         Jankauskas     5    7    3    8    2    8    2    3    7    7    10        
Kazys          Jankauskas     9    10   4    7    1    3    8    6    10   5    2         
Marius         Brazinskas     6    5    2    9    2    8    6    1    4    8    3         
Mantas         Petraitis      4    5    1    1    3    5    6    2    3    5    2         
Kazys          Stankevicius   4    2    5    1    3    10   9    5    7    3    8         
Lukas          Zukauskas      1    5    5    9    9    1    3    5    4    5    10        
Kazys          Jonaitis       4    3    1    10   8    4    10   7    6    6    10        
Antanas        Jonaitis       8    8    1    6    6    3    8    9    7    9    8         
Antanas        Brazinskas     9    10   4    1    2    6    5    9    4    4    5         
Darius         Petraitis      8    6    1    4    9    8    10   3    4    6    8         
Petras         Jankauskas     1    10   5    2    6    1    2    5    8    2    9         
Petras         Petraitis      2    5    5    9    2    8    8    6    2    5    7         
Antanas        Stankevicius   6    7    6    7    2    6    7    6    3    6    9         
Tomas          Jonaitis       10   9    1    7    7    4    4    10   8    4    8         
Paulius        Kazlauskas     7    3    5    8    3    3    4    8    9    8    4         
Kazys          Jankauskas     6    4    2    9    5    9    9    5    4    3    7         
Lukas          Kavolis        5    2    4    5    8    1    4    4    4    9    6         
Marius         Stankevicius   10   2    5    2    4    4    4    8    7    10   6         
Petras         Jankauskas     6    4    10   1    6    2    6    1    3    2    5         
Tomas          Kavaliauskas   7    9    3    5    5    10   1    4    8    7    1         
Lukas          Kavolis        4    5    8    10   1    9    2    9    8    6    5         
Kazys          Brazinskas     2    8    1    3    10   5    9    5    5    2    10        
Marius         Kavolis        3    1    10   10   10   3    4    8    2    3    5         
Paulius        Petraitis      7    5    6    2    2    5    10   10   1    4    2         
Lukas          Zukauskas      4    6    1    7    10   1    5    2    10   3    6         
Jonas          Kazlauskas     6    5    6    8    3    3    6    7    7    10   4         
Lukas          Kavaliauskas   2    10   2    2    7    7    8    10   3    6    6         
Lukas          Kavaliauskas   7    3    10   2    5    5    5    3    4    10   7         
Paulius        Jonaitis       9    6    5    4    5    1    8    10   10   3    2         
Lukas          Kavolis        6    3    7    3    7    6    4    5    6    2    9         
Antanas        Kavolis        1    9    6    3    9    9    7    1    6    3    2         
Kazys          Jonaitis       9    10   2    8    2    6    5    7    6    7    4         
Antanas        Kavolis        2    1    9    2    3    8    4    9    6    8    2         
Jonas          Kavolis        5    2    5    6    8    1    7    2    2    6    10        
Paulius        Stankevicius   2    7    1    9    6    1    9    4    2    9    5         
Paulius        Kavolis        8    3    2    10   8    4    2    2    5    7    10        
Tomas          Kavolis        4    8    5    9    1    4    5    7    1    10   7         
Lukas          Kazlauskas     6    9    10   1    2    8    8    5    10   6    10        
Mantas         Jankauskas     6    4    2    5    4    7    6    9    1    1    3         
Antanas        Jankauskas     5    1    2    6    2    9    2    7    8    2    5         
Mantas         Stankevicius   10   1    9    5    4    9    10   2    7    7    7         
Tomas          Zukauskas      2    4    9    10   8    9    1    6    1    1    2         
Lukas          Jankauskas     9    3    2    6    9    2    3    8    7    6    7         
Antanas        Jankauskas     7    4    3    1    10   6    3    3    1    1    3         
Lukas          Kavolis        2    5    4    7    10   10   5    7    3    10   6         
Antanas        Jankauskas     10   6    1    3    3    10   3    1    10   8    10        
Tomas          Jonaitis       1    1    4    9    1    10   6    5    8    3    8         
Petras         Kazlauskas     2    9    4    1    9    9    6    10   8    10   10        
Darius         Kavolis        3    1    6    10   5    5    7    9    10   2    10        
Marius         Kazlauskas     10   2    7    5    5    2    10   5    8    8    7         
Mantas         Kavolis        1    7    6    6    7    1    5    3    7    4    5         
Darius         Petraitis      3    1    1    7    7    4    5    7    4    6    8         
Jonas          Kazlauskas     2    9    5    9    6    7    9    2    3    6    10        
Kazys          Kazlauskas     5    5    9    9    7    6    7    3    1    10   10        
Jonas          Kazlauskas     1    6    3    6    3    9    8    7    4    10   6         
Mantas         Stankevicius   6    8    2    10   3    3    2    4    8    5    3         
Mantas         Kazlauskas     1    7    1    5    1    6    3    4    8    10   2         
Paulius        Kavaliauskas   1    8    6    6    5    6    2    3    8    1    4         
Jonas          Stankevicius   8    9    1    1    6    3    3    4    5    10   5         
Petras         Stankevicius   10   1    9    2    8    4    9    3    2    1    7         
Lukas          Kavolis        6    4    1    1    8    2    6    3    2    8    8         
Mantas         Zukauskas      10   7    6    7    1    4    6    7    6    5    6         
Lukas          Zukauskas      10   4    9    4    8    3    1    2    1    6    4         
Marius         Petraitis      10   2    6    2    4    8    8    5    10   9    4         
Antanas        Petraitis      5    6    8    2    4    3    10   7    6    1    8         
Mantas         Jankauskas     3    10   5    3    8    2    6    4    8    6    8         
Marius         Brazinskas     6    4    8    5    2    2    5    9    9    4    8         
Petras         Jankauskas     5    10   8    5    6    2    5    9    2    6    10        
Mantas         Kazlauskas     10   2    8    7    2    7    1    8    4    4    10        
Mantas         Jankauskas     2    2    2    5    7    2    6    7    3    2    10        
Petras         Jonaitis       3    5    2    10   2    7    6    10   2    5    5         
Antanas        Kavolis        8    3    1    7    5    1    9    2    10   1    1         
Darius         Brazinskas     3    9    2    9    7    10   4    3    9    1    8         
Paulius        Kazlauskas     3    6    4    6    6    4    8    6    5    10   9         
Paulius        Zukauskas      5    5    9    6    1    9    10   4    5    1    9         
Paulius        Petraitis      4    7    6    2    8    5    8    6    2    7    2         
Tomas          Zukauskas      5    4    6    4    7    8    4    6    2    9    6         
Antanas        Stankevicius   3    6    1    2    3    8    3    7    2    5    8         
Paulius        Petraitis      8    5    3    10   10   8    8    5    4    2    4         
Paulius        Kavaliauskas   9    4    5    8    2    3    4    1    3    7    8         
Lukas          Jonaitis       5    1    1    6    7    1    4    4    5    2    9         
Mantas         Kavolis        6    8    1    9    3    7    5    7    5    5    1         
Antanas        Zukauskas      5    10   10   10   3    4    5    2    8    9    2         
Petras         Petraitis      3    1    4    2    1    8    2    6    1    2    10        
Darius         Petraitis      5    4    4    6    7    4    7    3    9    9    7         
Paulius        Stankevicius   8    10   10   7    9    5    4    3    9    7    6         
Paulius        Petraitis      9    8    2    9    6    4    10   3    2    5    10        
Jonas          Petraitis      8    1    7    6    10   10   8    5    3    9    6         
Petras         Jankauskas     6    3    8    4    4    1    4    9    1    6    4         
Jonas          Jankauskas     3    9    4    8    7    10   7    10   1    8    10        
Mantas         Stankevicius   3    2    5    8    4    2    6    5    8    3    10        
Petras         Kavaliauskas   9    1    5    6    5    9    3    7    1    7    5         
Marius         Zukauskas      1    7    1    1    8    4    2    1    9    2    5         
Marius         Jankauskas     2    10   9    8    8    1    10   3    5    6    8         
Tomas          Jonaitis       5    6    4    4    4    3    6    10   6    3    7         
Paulius        Petraitis      10   3    3    9    6    6    7    1    5    8    2         
Petras         Jonaitis       9    1    5    10   2    2    8    1    3    4    8         
Antanas        Brazinskas     7    8    5    6    1    7    8    1    8    7    5         
Antanas        Brazinskas     7    5    8    2    2    8    10   2    2    10   1         
Lukas          Jankauskas     8    10   6    10   6    5    7    8    7    4    6         
Paulius        Brazinskas     1    9    6    8    10   4    10   8    5    9    1         
Marius         Stankevicius   5    1    10   6    7    6    4    7    5    6    2         
Darius         Zukauskas      9    9    9    2    10   1    1    1    10   10   8         
Jonas          Brazinskas     5    4    8    5    2    5    6    7    1    4    7         
Marius         Jankauskas     1    2    8    3    10   3    7    1    1    6    10        
Tomas          Brazinskas     4    6    3    9    1    5    2    8    8    7    2         
Tomas          Kavaliauskas   5    4    9    4    8    9    7    10   1    7    4         
Darius         Zukauskas      2    1    7    2    6    10   1    3    5    1    3         
Marius         Kavaliauskas   5    2    2    9    10   3    7    6    9    5    5         
Tomas          Kavaliauskas   7    8    10   7    4    1    4    8    8    4    7         
Lukas          Brazinskas     1    2    1    7    6    2    3    9    6    8    1         
Tomas          Jankauskas     4    8    2    10   4    5    6    4    2    9    2         
Mantas         Kazlauskas     2    10   9    3    5    6    5    6    6    3    6         
Lukas          Zukauskas      2    10   9    10   5    1    10   7    6    3    3         
Marius         Stankevicius   6    5    4    10   10   1    9    10   10   6    4         
Darius         Jonaitis       1    6    7    3    9    10   2    7    7    8    9         
Paulius        Jankauskas     2    5    2    3    2    2    2    7    10   3    5         
Mantas         Kavaliauskas   1    4    6    7    6    4    7    7    7    10   9         
Antanas        Brazinskas     1    2    2    9    8    10   9    2    5    3    2         
Petras         Petraitis      1    5    8    5    8    3    5    9    10   8    5         
Petras         Jonaitis       10   2    10   9    2    8    7    8    8    4    4         
Marius         Petraitis      3    3    2    9    3    7    3    8    5    8    6         
Kazys          Brazinskas     4    6    5    5    5    7    5    4    2    6    3         
Marius         Kavolis        5    1    1    8    7    5    10   3    8    2    5         
Darius         Kazlauskas     4    7    7    9    7    8    6    5    1    1    5         
Jonas          Petraitis      6    2    8    10   2    4    1    7    5    8    4         
Jonas          Kavolis        2    4    6    6    3    7    7    4    1    3    5         
Mantas         Kazlauskas     6    4    7    10   10   1    4    6    5    9    10        
Kazys          Kazlauskas     2    2    5    8    5    3    8    10   3    3    7         
Kazys          Brazinskas     1    8    10   9    3    2    6    2    4    9    9         
Marius         Zukauskas      7    7    6    6    5    5    1    1    8    5    4         
Petras         Jankauskas     8    1    2    3    9    10   2    7    1    5    7         
Mantas         Kazlauskas     9    5    5    3    7    5    6    9    9    6    1         
Antanas        Brazinskas     9    6    1    8    6    10   4    3    2    5    5         
Antanas        Jonaitis       9    8    1    2    2    8    4    1    1    1    9         
Darius         Kazlauskas     1    4    7    9    2    1    3    4    5    9    7         
Petras         Jankauskas     7    5    2    7    9    2    10   3    1    2    10        
Antanas        Kazlauskas     3    6    1    5    3    10   4    9    1    1    4         
Kazys          Kavaliauskas   4    5    5    6    2    5    9    6    3    7    2         
Lukas          Jonaitis       6    6    4    9    3    7    9    10   9    3    2         
Tomas          Petraitis      2    7    2    2    6    9    10   4    7    6    2         
Jonas          Jankauskas     10   2    10   10   10   4    3    2    7    5    7         
Jonas          Petraitis      3    2    6    8    8    2    3    1    3    7    8         
Antanas        Petraitis      7    8    4    2    6    8    6    5    6    1    1         
Jonas          Stankevicius   7    10   6    1    4    2    8    8    6    7    1         
Kazys          Jankauskas     10   4    3    8    6    6    6    4    3    2    8         
Jonas          Kavolis        9    7    6    3    2    1    10   10   3    4    5         
Tomas          Kazlauskas     2    3    2    10   4    6    3    2    9    8    3         
Antanas        Kavolis        1    9    2    10   10   4    9    7    7    2    3         
Jonas          Zukauskas      4    9    8    3    4    7    1    4    10   1    6         
Paulius        Kavaliauskas   1    7    4    6    1    10   1    10   10   7    1         
Mantas         Kavolis        6    8    1    1    4    5    7    2    8    9    3         
Darius         Jankauskas     7    4    7    10   10   3    4    8    7    3    7         
Marius         Jankauskas     1    4    6    2    1    8    7    6    4    3    5         
Lukas          Zukauskas      8    8    10   8    2    4    7    7    10   1    6         
Mantas         Brazinskas     4    6    7    1    7    9    10   6    8    2    6         
Paulius        Kavaliauskas   1    4    1    5    9    6    3    5    7    5    5         
Antanas        Zukauskas      2    7    7    3    8    3    4    1    1    5    4         
Lukas          Jonaitis       8    9    10   8    1    8    6    8    10   4    9         
Antanas        Jonaitis       7    3    3    1    8    6    10   7    1    3    4         
Petras         Jankauskas     2    4    4    8    2    2    8    8    4    2    1         
Jonas          Jankauskas     8    8    2    3    4    1    5    5    4    7    9         
Darius         Jankauskas     2    1    8    3    6    4    9    3    1    4    5         
Lukas          Kavolis        1    6    5    3    2    2    5    8    1    3    10        
Paulius        Jonaitis       4    7    1    5    9    2    9    2    6    4    5         
Tomas          Stankevicius   4    3    2    4    4    2    10   2    8    7    3         
Kazys          Kazlauskas     6    1    10   6    2    9    4    4    3    2    5         
Tomas          Brazinskas     6    10   6    6    1    6    7    7    7    7    4         
Lukas          Petraitis      3    6    2    4    10   1    5    3    3    5    8         
Lukas          Kavolis        6    9    3    4    4    3    5    1    8    2    8         
Darius         Jonaitis       9    4    5    2    2    2    1    9    9    4    8         
Jonas          Kavolis        7    6    10   10   1    8    8    4    5    2    7         
Lukas          Petraitis      1    3    3    1    2    2    1    9    4    2    1         
Marius         Brazinskas     10   10   8    4    8    5    3    9    2    10   6         
Mantas         Kavolis        1    4    3    10   5    3    2    1    4    4    10        
Darius         Kavaliauskas   9    10   5    8    4    5    6    7    4    4    1         
Marius         Kavaliauskas   6    7    7    6    4    8    10   3    4    8    2         
Marius         Zukauskas      10   5    5    1    7    9    8    7    2    1    5         
Tomas          Jankauskas     7    5    2    7    1    1    10   6    3    2    10        
Mantas         Kazlauskas     8    2    2    7    8    2    4    7    2    3    10        
Antanas        Kavolis        8    8    7    7    10   5    8    9    5    3    8         
Lukas          Brazinskas     6    10   8    3    1    10   9    3    7    4    5         
Paulius        Kavaliauskas   3    1    4    1    6    10   4    10   8    6    1         
Tomas          Kazlauskas     6    8    2    10   7    3    10   10   7    8    10        
Jonas          Zukauskas      3    5    2    4    4    7    1    6    1    2    6         
Marius         Zukauskas      9    2    9    3    8    3    10   7    1    1    3         
Jonas          Jankauskas     10   7    9    8    2    4    9    3    8    9    9         
Paulius        Stankevicius   9    4    6    5    8    5    10   2    9    1    6         
Darius         Kazlauskas     8    8    8    1    6    6    9    10   2    10   3         
Tomas          Petraitis      6    8    10   4    6    2    8    10   5    5    3         
Tomas          Stankevicius   3    10   9    1    8    5    10   10   4    8    6         
Petras         Zukauskas      8    6    3    8    3    7    9    9    9    9    7         
Tomas          Kavaliauskas   3    8    6    8    1    7    5    4    6    7    7         
Paulius        Kavaliauskas   4    5    6    1    4    8    2    3    8    5    1         
Petras         Kavaliauskas   4    7    2    3    9    9    5    4    5    1    6         
Petras         Kazlauskas     4    10   7    5    4    1    3    2    4    8    1         
Darius         Jonaitis       9    8    6    1    6    1    9    2    2    5    5         
Mantas         Brazinskas     10   1    9    3    6    5    5    3    10   8    6         
Lukas          Brazinskas     2    9    3    3    2    9    9    5    1    7    9         
Tomas          Kavaliauskas   7    3    7    9    10   1    5    3    10   1    2         
Paulius        Stankevicius   8    9    9    4    9    10   1    1    10   3    6         
Petras         Kavolis        9    8    4    8    4    6    2    3    6    2    4         
Paulius        Zukauskas      7    6    2    1    9    3    9    3    8    9    1         
Tomas          Kavolis        2    3    10   8    3    7    1    2    8    5    6         
Lukas          Zukauskas      4    5    10   3    2    2    10   9    7    7    4         
Antanas        Stankevicius   9    3    6    2    4    10   7    1    7    7    4         
Paulius        Petraitis      10   8    7    3    7    7    7    9    10   3    7         
Marius         Kavolis        1    3    8    10   1    10   8    3    9    6    5         
Jonas          Zukauskas      7    9    4    3    3    8    1    6    6    6    6         
Mantas         Stankevicius   7    1    1    4    2    10   10   3    7    4    9         
Jonas          Jonaitis       8    8    8    2    10   10   1    7    1    10   6         
Mantas         Zukauskas      10   10   10   1    9    6    6    3    9    3    2         
Lukas          Kazlauskas     1    10   5    1    7    8    7    8    4    6    6         
Jonas          Jonaitis       6    5    10   1    5    10   7    2    2    2    3         
Kazys          Brazinskas     7    3    10   10   5    3    3    8    9    9    7         
Kazys          Petraitis      9    6    4    7    6    3    4    6    4    10   3         
Jonas          Kazlauskas     4    5    6    6    9    10   7    1    3    1    7         
Paulius        Kavaliauskas   3    2    8    6    4    2    4    1    5    9    9         
Paulius        Kavaliauskas   9    10   3    7    9    9    4    5    8    4    4         
